歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,new,船,鹭卓,/song?id=2639974738
2,new,泰兰德雨季,XMASwu(吴骜),/song?id=2647826594
3,new,无人投靠,对角巷乐队,/song?id=2649879433
4,new,SWAG,Liue,/song?id=2649373035
5,new,论当代年轻人精神状态,PSY.P,/song?id=2649249708
6,new,她不再幻想,吴垚滔,/song?id=2649317273
7,new,记忆闪帧,陈婧霏,/song?id=2648605163
8,new,烦人托撬,UM,/song?id=2650122528
9,new,Don't Matter,V.O.B,/song?id=2648160375
10,new,没有一杯茶解决不了的事 (feat. 杨和苏KeyNG),黑麦(BlackMic),/song?id=2647785252
11,new,I love us,Zy,/song?id=2650022071
12,new,别喊救命,KnowKnow,/song?id=2647805994
13,new,倖存者,88rising,/song?id=2646569151
14,new,约个午饭,周传雄,/song?id=2647801357
15,new,迷宫,杨和苏KeyNG,/song?id=2650401147
16,new,情绪价值,周兴哲,/song?id=2648594938
17,new,窄门,魏如萱,/song?id=2649026403
18,new,Only U,Mosedontbesilly,/song?id=2650087718
19,new,来不及告别,Kc,/song?id=2650057070
20,new,王洪亮和王顺保,椅子乐团 The Chairs,/song?id=2649281217
21,new,当你照亮我,大宽,/song?id=2649940105
22,new,Tunnel Vision,张筱迪,/song?id=2650101986
23,new,Darling,MULA SAKEE,/song?id=2649237578
24,new,等你说爱我,thomeboydontkill,/song?id=2646376079
25,new,Last Dance,TOYOKI,/song?id=2650170072
26,new,星星连成心,翔屿,/song?id=2604842540
27,new,兰桂坊Pt.1,听潮阁,/song?id=2648591950
28,new,风口浪尖,克蘭,/song?id=2650063576
29,new,我钻出来了,Top Barry,/song?id=2650063579
30,new,厦门,Zy,/song?id=2649278787
31,new,顺行,杜宣达,/song?id=2645786720
32,new,告白,AFMC黑子,/song?id=2649353407
33,new,归,梁老师Tsong,/song?id=2650464161
34,new,雪,曹恩齐,/song?id=2643645151
35,new,换季,Chace,/song?id=2645296183
36,new,她总是,Aioz,/song?id=2649285030
37,new,白夜狐步舞,王瑞淇,/song?id=2649313080
38,new,亲爱的，你应当像鸟飞往你的山,七乐团SEVENBAND,/song?id=2648157695
39,new,甲乙,Toy王奕,/song?id=2646899120
40,new,失恋冰茶,队长,/song?id=2648931865
41,new,拐杖,黄旭,/song?id=2650025416
42,new,当人潮渐渐散去,青井,/song?id=2649367210
43,new,社区鞭炮手,DiorGoFlex,/song?id=2650122523
44,new,车和房,7up,/song?id=2648922926
45,new,遗憾总是秋,step.jad依加,/song?id=2648924337
46,new,冬葬祭曲,邓典果DDG,/song?id=2649893337
47,new,大雁,G23,/song?id=2648595941
48,new,君知我,三火flame,/song?id=2648822542
49,new,like the dying dragonfly,打倒三明治,/song?id=2642827707
50,new,Blue Memo,Seto,/song?id=2649283886
51,new,一把手,欧豪,/song?id=2650122526
52,new,爱情乞丐,言不是圆,/song?id=2649144076
53,new,水镜2,424,/song?id=2648733908
54,new,天地孤影,菜籽油Clazy,/song?id=2643147306
55,new,狼人杀,小马虎,/song?id=2648668692
56,new,Birdy,万乐体,/song?id=2647944396
57,new,我南下 你北上,丢莱卡WastedLaika,/song?id=2650122524
58,new,抽屉,苏二零,/song?id=2649043476
59,new,我的世界没有你,JSore,/song?id=2649842373
60,new,江河,Milie,/song?id=2649144047
61,new,夏日魔力红（2012ed）,Ecrolyn,/song?id=2650105667
62,new,我以為宇宙跟我說好了,何松,/song?id=2647848273
63,new,发发力 HIT IT,陈祝维,/song?id=2641592009
64,new,双相痛,V.O.B,/song?id=2650501178
65,new,给你想要的自由,谢帝,/song?id=2649190981
66,new,ROLEMODEL(feat. GALI),Zy,/song?id=2643773372
67,new,我爱玩鹰佐！,韩蒴,/song?id=2649818325
68,new,高速公路 HIGHWAY,一棵会开花的树,/song?id=2641593293
69,new,BLACKOUT（灵魂边境）,悲伤情绪海,/song?id=2650506099
70,new,Go Back,安徽純愛王,/song?id=2650171039
71,new,得意（Proudly）,野洵,/song?id=2648690432
72,new,理由,听潮阁,/song?id=2647894572
73,new,答应我会幸福,九重临,/song?id=2646587500
74,new,给我个理由,Rabb1tT3N,/song?id=2650083076
75,new,Small Town Girl,曹恩齐,/song?id=2645500483
76,new,K9,V.O.B,/song?id=2648223740
77,new,霧散去｜Mist Dissipates,王齐铭WatchMe,/song?id=2646107724
78,new,Kagi 鍵,Zy,/song?id=2646855378
79,new,转,Ada,/song?id=2650415667
80,new,战不凡,Lil AsahI,/song?id=2649247108
81,new,漫游,Luminous_卢密,/song?id=2649970199
82,new,把明天找到送给我自己,魔鬼花园（李安健）,/song?id=2650088045
83,new,圈踢,李常超 (Lao乾妈),/song?id=2650122527
84,new,跳啊，跳下那窗台,逆水长琴,/song?id=2647805987
85,new,月光洄游,逆水寒,/song?id=2650224020
86,new,我梦见了你,雷火音频,/song?id=2648753307
87,new,朝霞，你还好吗,克卫Pro,/song?id=2650541483
88,new,You and me,梦游动物园,/song?id=2649887018
89,new,我想要拥有你,V.O.B,/song?id=2648953295
90,new,雨夜暗鲨,揽佬SKAI ISYOURGOD,/song?id=2650122525
91,new,与爱同行2,Zy,/song?id=2645598255
92,new,过把瘾,Loyal Rocky,/song?id=2650385251
93,new,Nights Are Lonely,Xxry,/song?id=2648623596
94,new,小孩,Skiluv,/song?id=2166584564
95,new,远方的种子,何松,/song?id=2648761654
96,new,帧帧瞬间,I'll call you.,/song?id=2649692669
97,new,秋滘渔歌,Night Keepers 守夜人,/song?id=2647946042
98,new,我们爱耍无畏契约,张大炮,/song?id=2650088836
99,new,如果会有一天,揽佬SKAI ISYOURGOD,/song?id=2644219022
100,new,羊群,Luminous_卢密,/song?id=2650738014
