歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,new,曼陀罗华,Sasuke,/song?id=2643535318
2,new,船,鹭卓,/song?id=2639974738
3,new,租购,薛之谦,/song?id=2648841571
4,new,你的 (Live版),汪苏泷,/song?id=2648559311
5,new,谦让 (Live版),贺仙人,/song?id=2642164470
6,new,野人 (Live版),张信哲,/song?id=2644174802
7,new,一点,王靖雯不胖,/song?id=2641867659
8,new,What Does It Mean to You,陈粒,/song?id=2643514137
9,new,褪黑素 (Live版),孟维来,/song?id=2644174830
10,new,Ma Meilleure Ennemie,Muyoi,/song?id=2626364437
11,new,恋痛,Pezzi,/song?id=2643121166
12,new,luther,Carpetman,/song?id=2649423776
13,new,凑热闹,张信哲,/song?id=2645892440
14,new,明明(深爱着你) (Live版),江皓南,/song?id=2642164541
15,new,哀人(i) (Live版),Stromae,/song?id=2650828555
16,new,number one girl,Pomme,/song?id=2643172761
17,new,敕勒歌,伍六七,/song?id=2646231923
18,new,滥俗的歌,6SP,/song?id=2651447604
19,new,秋风 (粤语版),Kendrick Lamar,/song?id=2642284128
20,new,小行迹（Live版),Sasablue,/song?id=2648874973
21,new,想你,李宇春,/song?id=2642267710
22,25,轻舟,丁肆Dicey,/song?id=2139348158
23,new,壁上观,汪苏泷,/song?id=2638631898
24,new,茶花开了,门尼,/song?id=2650815712
25,new,爱的就是你,ROSÉ,/song?id=2650464654
26,new,小孩 (Live版),阿斯罕,/song?id=2648556909
27,new,消散对白,钟楚曦,/song?id=2645495145
28,new,这样很好 (Isha's Song),四熹丸子,/song?id=2643800682
29,new,爱难逃,赵雷,/song?id=2646957771
30,new,モニタリング,刘大拿,/song?id=2639291583
31,new,小岛随笔,褚晨茜,/song?id=2644489929
32,new,我记得（Live版),张杰,/song?id=2648874978
33,new,爱的就是你,鞠婧祎,/song?id=2642686308
34,new,K9,王睿卓,/song?id=2648223740
35,new,Nothing's Gonna Stop Us Now,崔十八,/song?id=2643098080
36,new,我们没开始,听潮阁,/song?id=2650021091
37,new,大雁,李宇春,/song?id=2648595941
38,new,Remember Me,罗森涛,/song?id=2626364251
39,new,心之科学 (live),杜宣达,/song?id=2651495968
40,new,想念你想我,陈奕迅,/song?id=2646438117
41,new,关于海的故事,双城之战,/song?id=2650849020
42,new,你不明白,英雄联盟,/song?id=2642278534
43,new,Dream Love,安息日,/song?id=2645585433
44,new,直到我 (Live版),DECO*27,/song?id=2646468716
45,new,温触,huhualsichkann,/song?id=2642292188
46,new,小猫坏事做尽！,赵雷,/song?id=2645306904
47,new,星外无声,Sasablue,/song?id=2646535880
48,new,Coverage,Six Teen,/song?id=2600227363
49,new,Something New,Dream Tunes,/song?id=2646468702
50,new,你最珍贵 (我会送你红色玫瑰),周兴哲,/song?id=2650464718
51,new,Suyattim,野洵,/song?id=2643828995
52,new,我知道,听潮阁,/song?id=2642033162
53,new,Last Dance,d4vd,/song?id=2650170072
54,new,当爱在靠近,李昊,/song?id=2641690919
55,new,谁不想 (Live版),周兴哲,/song?id=2646468786
56,new,开始懂了,柯东,/song?id=2646148826
57,new,归途的光,造梦师DreamMaker,/song?id=2643164201
58,new,好歌献给你 (live),陈麒名,/song?id=2651498753
59,new,她总是,DLSS,/song?id=2649285030
60,new,南风北巷 (Live版),袁娅维TIA RAY,/song?id=2648556834
61,new,伤心剖半,青井,/song?id=2645863649
62,new,错落,橘猫烧鲷鱼,/song?id=2646891131
63,new,Sucker,寒晗,/song?id=2626363128
64,new,头发乱了 (live),小鷹,/song?id=2651495965
65,new,头文字T (Live),棱镜乐队,/song?id=2651445287
66,new,记忆闪帧,ljz329,/song?id=2648605163
67,new,你一定能看见,AZ啊之,/song?id=2648100793
68,new,跳楼机,马思唯,/song?id=2645500113
69,new,Yaxigili Kaldim,余超颖,/song?id=2643795016
70,new,crow.,孙伯纶,/song?id=2649246500
71,new,茶花开了 (Live版),Ghulameli Ghupur,/song?id=2650827769
72,new,炊烟 (Live版),刘大拿,/song?id=2642164637
73,new,The Line,Toy王奕,/song?id=2626364465
74,new,相依为命 (live),队长,/song?id=2651495969
75,new,她不再幻想,黄旭,/song?id=2649317273
76,new,从未见过的海,en,/song?id=2644183063
77,new,宿命之眼,李宇春,/song?id=2139348171
78,new,晚婚,林宥嘉,/song?id=2648874808
79,new,"亲爱的, 那不是爱情",en,/song?id=2648574642
80,new,她整晚在写信 (live),诺爷Plus,/song?id=2651495967
81,new,Azalea,谭咏麟,/song?id=2643092558
82,new,离开以后 (live),陈慧娴,/song?id=2651498748
83,new,十里亭,周慧敏,/song?id=2642296436
84,new,Under the Tree (from “That Christmas”),回春丹,/song?id=2649641923
85,new,窄门,方力申,/song?id=2649026403
86,new,不要倒下去,薛凯琪,/song?id=2638526143
87,new,太陽,黄子弘凡,/song?id=2649156123
88,new,HOWLING,李宇春,/song?id=2641928125
89,new,谁家 (live版),容祖儿,/song?id=2646459643
90,new,孤独患者,周笔畅,/song?id=2642002866
91,new,旧伤口,陈小春,/song?id=2647373433
92,new,Ambiguous Morality,李昊,/song?id=2646863716
93,new,几乎是爱情,卫兰,/song?id=2650022065
94,new,恋爱单行道,古巨基,/song?id=2646926833
95,new,IN THE RAIN,全场观众,/song?id=2641928970
96,new,春不晚 (Live版),万乐体,/song?id=2648559415
97,new,Melancho,杨宗纬,/song?id=2646935381
98,new,巴掌印,邵帅,/song?id=2644581592
99,new,还没有听到,邓典,/song?id=2644504495
