歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,0,于是,郑润泽,/song?id=1303464858
2,1,孤独患者,陈奕迅,/song?id=64093
3,2,罗生门（Follow）,梨冻紧,/song?id=1456890009
4,new,APT.,Wiz_H张子豪,/song?id=2637558926
5,7,Cry For Me (feat. Ami),ROSÉ,/song?id=27681762
6,11,把回忆拼好给你,Bruno Mars,/song?id=1403318151
7,-6,爱错,Michita,/song?id=1301736461
8,new,小孩,王贰浪,/song?id=2166584564
9,7,我只能离开,王力宏,/song?id=1398283847
10,7,如果爱忘了 (live),罗森涛,/song?id=2124385868
11,11,还是会想你,颜人中,/song?id=1827600686
12,4,红,汪苏泷,/song?id=1918576268
13,14,如果呢,单依纯,/song?id=1842728629
14,14,与我无关,林达浪,/song?id=1413585838
15,19,予你,h3R3,/song?id=1895330088
16,15,我想念,罗言,/song?id=2071935674
17,16,如果可以,郑润泽,/song?id=1890530891
18,17,冬眠,阿冗,/song?id=2110700883
19,new,曼陀罗华,队长,/song?id=2643535318
20,23,忘不掉的你,汪苏泷,/song?id=1851652156
21,20,指纹,韦礼安,/song?id=1887139866
22,24,悬溺,阿YueYue,/song?id=1397345903
23,17,我记得,刘兆宇,/song?id=1974443814
24,32,绽放,Sasuke,/song?id=2025186889
25,27,再等冬天(Memories),h3R3,/song?id=1927693793
26,22,无名的人,杜宣达,/song?id=1903149553
27,26,凑热闹,葛东琪,/song?id=344403
28,26,我知道 (我知道你还是爱着我),赵雷,/song?id=344418
29,22,曾经是情侣 (Live),郑润泽,/song?id=1370880017
30,new,普通女孩,h3R3,/song?id=2617646167
31,33,晚安,毛不易,/song?id=1359356908
32,52,苦茶子,By2,/song?id=1922888354
33,32,夏夜最后的烟火,By2,/song?id=1482867143
34,new,若月亮没来 (Live版),梁博,/song?id=2158973221
35,36,有些,沙一汀EL,/song?id=1406649619
36,new,船,颜人中,/song?id=2639974738
37,41,哪里都是你,Starling8,/song?id=488249475
38,43,精卫,MoreLearn 27,/song?id=1951069525
39,43,我怀念的,FIVESTAR,/song?id=287063
40,35,特别的人,颜人中,/song?id=28403111
41,30,唯一,杨宗纬,/song?id=1807799505
42,53,还是分开,宝石Gem,/song?id=465921195
43,48,沉溺 (你让我的心不再结冰）,王宇宙Leto,/song?id=2034187125
