歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,new,滥俗的歌,钟楚曦,/song?id=2651447604
2,2,Cry For Me (feat. Ami),Michita,/song?id=27681762
3,new,画心,于春洋,/song?id=2634915336
4,new,哀人(i) (Live版),汪苏泷,/song?id=2650828555
5,new,小孩,门尼,/song?id=2166584564
6,34,十二月的奇迹 (Miracles in December),罗森涛,/song?id=28059507
7,15,有些,EXO,/song?id=1406649619
8,new,茶花开了,颜人中,/song?id=2650815712
9,27,IF YOU,王睿卓,/song?id=32922450
10,new,心之科学 (live),BIGBANG,/song?id=2651495968
11,39,爱错,李昊,/song?id=25641873
12,new,一点,王力宏,/song?id=2641867659
13,new,茶花开了 (Live版),Muyoi,/song?id=2650827769
14,71,致爱 Your Song,Pezzi,/song?id=34852348
15,16,天下,李宇春,/song?id=191254
16,new,Once Upon A Time (House Extended Mix),王睿卓,/song?id=2114626539
17,31,after 17,鹿晗,/song?id=209314
18,new,坏女孩,张杰,/song?id=2151119631
19,new,相依为命 (live),Max Oazo,/song?id=2651495969
20,new,凑热闹,Moonessa,/song?id=2645892440
21,new,虚拟恋人,陈绮贞,/song?id=2613137377
22,new,好歌献给你 (live),Six Teen,/song?id=2651498753
23,new,小孩,陈小春,/song?id=2620108348
24,new,离开以后 (live),Sasablue,/song?id=2651498748
25,new,小孩儿,余-AcoLasia,/song?id=1844680639
26,new,Two Different Worlds,谭咏麟,/song?id=2142228282
27,new,Take Me Hand,陈慧娴,/song?id=2071452224
28,new,船,周慧敏,/song?id=2639974738
29,new,头文字T (Live),回春丹,/song?id=2651445287
30,new,"Baby, Don't Cry (人鱼的眼泪)",方力申,/song?id=26428032
31,new,十二月的奇迹,薛凯琪,/song?id=2651621083
32,2,爱错,黄子弘凡,/song?id=1301736461
33,new,关于思念,李宇春,/song?id=2637730685
34,new,爱错,容祖儿,/song?id=2629921305
35,62,邻家女孩,周笔畅,/song?id=2125950414
36,new,她整晚在写信 (live),陈小春,/song?id=2651495967
37,new,心淡 (live),李昊,/song?id=2651495964
38,new,半生雪,卫兰,/song?id=1958354765
39,new,ᴀʟʟ ɢᴏᴏᴅ,古巨基,/song?id=1342951475
40,57,Counting Stars,全场观众,/song?id=28575553
41,new,爱难逃,蒋孜怡,/song?id=2646957771
42,4,心淡,薛凯琪,/song?id=288086
43,new,life force,THE BOOTLEGS 靴腿,/song?id=2627552275
44,new,等天晴,KoruSe,/song?id=2630540996
45,70,不遗憾,mzmff,/song?id=2014340645
46,67,Soul Below,DAISHI DANCE,/song?id=1694104
47,43,Love Song,Cécile Corbel,/song?id=82360
48,new,i walk this earth all by myself,鹭卓,/song?id=1808235517
49,new,Fool For You,TizzyT,/song?id=1817576399
50,new,What Does It Mean to You,EXO,/song?id=2643514137
51,new,宿敌,刘大拿,/song?id=2648203155
52,new,我怀念的,王力宏,/song?id=1821234186
53,new,你的名字,Max李玄,/song?id=2649767896
54,new,不潮不用花钱,en,/song?id=108463
55,new,冬眠+这个冬天我们重蹈覆辙 (Live版),Maron,/song?id=2650828567
56,94,III,卫兰,/song?id=3947467
57,new,滥俗的歌,容祖儿,/song?id=1923210613
58,new,Memories,七叔-叶泽浩,/song?id=517566417
59,new,crow.,LuluSweety,/song?id=2649246500
60,new,永远的奥特曼,OneRepublic,/song?id=1461262038
61,new,Call You Tonight,安息日,/song?id=19827042
62,new,モニタリング,容祖儿,/song?id=2639291583
63,new,K9,ptasinski,/song?id=2648223740
64,new,BLOODSEEKER,RJ Pasin,/song?id=2141606864
65,37,唱月,涂宇鑫,/song?id=1317116644
66,new,Faded Light,陈冬霖,/song?id=1347617340
67,new,Go Again (feat. ELYSA),LJones,/song?id=1952112969
68,new,달과 6펜스,方大同,/song?id=36307466
69,new,鲸落 (Live版),EKKSTACY,/song?id=2650827736
70,new,Are You Lost,KASTRA,/song?id=518894020
71,new,PUSH 2 START,Carpetman,/song?id=2634424011
72,new,Hate Me 2.0,河图,/song?id=2625111885
73,new,Anyong,AKA_wen酱,/song?id=2615832822
74,new,十二月的奇迹,世界777,/song?id=2651523463
75,new,红昭愿,林俊杰,/song?id=2141258943
76,new,不用去猜-Jony J (Live|纯享版cut),杨宗纬,/song?id=2651443849
77,new,爱如潮水,刘兆宇,/song?id=1300370734
78,new,青玉恋,Athletics,/song?id=2625456699
79,new,归零,汉堡黄,/song?id=2000845246
80,new,掐痕,TRA$H,/song?id=2624354434
81,57,柏林的雾,8bite,/song?id=2130667732
82,new,我知道 (live),LINE,/song?id=2624564350
83,new,我想,Whitney Houston,/song?id=407435011
84,new,暗叫,DECO*27,/song?id=460976
85,new,彩色复活券,Six Teen,/song?id=2641552552
86,new,天天,RXDXVIL,/song?id=1440148562
87,new,十二月的奇迹,Hellblade,/song?id=2651595771
88,new,我知道,李耀阳,/song?id=1430303185
89,64,雨爱,PYLOT,/song?id=316100
90,new,红豆,King CAAN,/song?id=28029104
91,new,星星连成心,Elysa,/song?id=2604842540
92,new,华语流行金曲2024,沈圭善,/song?id=2635635813
93,10,拉过勾的,张信哲,/song?id=2064513474
94,new,平凡之路,宋瑀哲,/song?id=28815250
95,new,But U (Live),Park Bird,/song?id=2651443691
96,new,告别,Tyla,/song?id=2055336242
97,new,Too Good to Say Goodbye,SAYRAN,/song?id=441120473
98,new,最终男甲丙,IRXD7,/song?id=2649298972
99,new,ǝɔuɐɹʇuǝ uɐ ƃuᴉʞɐɯ (combination lock & ʎpoqou),LinFan林凡,/song?id=431259949
100,new,明日香（phone kisses）,en,/song?id=2154079624
